score,username,song,difficulty
156,Braydon,silent_night_easy.mid,N
215,Camilo,silent_night_easy.mid,N
248,Adan,silent_night_easy.mid,N
186,James,silent_night_easy.mid,N
288,Vinny,silent_night_easy.mid,N
375,Mark,silent_night_easy.mid,N
252,Kaleb,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
10,Braydon,silent_night_easy.mid,N
20,Braydon,silent_night_easy.mid,N
5,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
5,Braydon,silent_night_easy.mid,N
5,Braydon,silent_night_easy.mid,N
20,Braydon,silent_night_easy.mid,N
5,Braydon,silent_night_easy.mid,N
20,Braydon,silent_night_easy.mid,N
5,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
10,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
20,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
25,Braydon,silent_night_easy.mid,N
10,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
84,Braydon,silent_night_easy.mid,E
0,Braydon,silent_night_easy.mid,N
408,Braydon,silent_night_easy.mid,E
0,Braydon,silent_night_easy.mid,N
20,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
0,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
15,Braydon,silent_night_easy.mid,N
